seed,Beh_Mic,Beh_Mac,His_Mic,His_Mac,Lat_Mic,Lat_Mac,Site_Mic,Site_Mac,Subs_Mic,Subs_Mac,model
0,0.9775772119675404,0.9081107028251744,0.7855069401472046,0.3348787608304421,0.9176087054952684,0.548402521712115,0.9271322275382224,0.6932826229321972,0.6863073587193302,0.3257304506013133,t-0.1
1,0.978009870655176,0.9180887823528976,0.7904925768849581,0.3626132944704401,0.9191330727319378,0.5474726248014222,0.9294062011057952,0.7016526792700054,0.6901861941631324,0.33928358791211916,t-0.2
2,0.978246323658884,0.9095198980797421,0.7914987598794593,0.3637117394658887,0.919631133314216,0.5480330869424884,0.9296829014292828,0.7030022267996235,0.6921130345976023,0.34014347373185355,t-0.5
3,0.9779243451006434,0.920178437651686,0.7909202046576209,0.3622660421154956,0.919792122593336,0.5478602161092745,0.9296577468544204,0.7013660592031408,0.6903371216123076,0.3368990673537164,t-0.7
4,0.9783519728733064,0.9136717614561106,0.7914132343249267,0.3598246947707733,0.919741813443611,0.5379203178276132,0.9298941998581282,0.7046121198663909,0.6920375708730147,0.33818419247393416,t-0.9
5,0.977989746995286,0.9078782246846822,0.7908749264228685,0.35991559842194637,0.919852493573006,0.5422931831459267,0.9303721367805162,0.7090012377608192,0.6919067670837296,0.34097451274913854,t-1.0
6,0.9782010454241312,0.9176754204676284,0.7910962866816588,0.3655945173927944,0.9197468443585834,0.5402012534673223,0.9304325077601864,0.7093937632201488,0.6929431355680657,0.34394237331169064,t-1.1
7,0.9782513545738564,0.9133051685598244,0.7898385579385323,0.3606729956705239,0.9199480809574836,0.5385164607316323,0.9305029405698014,0.7081217585711099,0.6921381891724648,0.3386210961474002,t-1.2
8,0.9781306126145162,0.9102998387220784,0.7887468493894985,0.3509878286907105,0.9195204531848208,0.5373126801035343,0.9302966730559288,0.7075854320980645,0.691494232055984,0.3371834778298141,t-1.5
9,0.9780350252300386,0.9029861000198109,0.7895165793802918,0.34752535746883817,0.9196613188040508,0.5362109994239062,0.9304576623350488,0.7088432285245929,0.6913936137565339,0.3373101267112356,t-1.7
10,0.9779746542503686,0.9148211093233154,0.7884047471713681,0.33974133436320336,0.9194701440350956,0.5347080583704514,0.9300199727324407,0.7038289188471866,0.6903773689320877,0.3326017140540518,t-1.9
11,0.9778237268011932,0.9141597251279908,0.7879720884837326,0.33652529403776216,0.9197216897837208,0.5304794907501765,0.929773457898788,0.7005433371981689,0.6902717197176651,0.32746169183106283,t-2.0
